Year,Date,Hourly Demand Met (in MW)
2025,01-Jan 12am,146128.33
2025,01-Jan 1am,143058.21
2025,01-Jan 2am,138772.04
2025,01-Jan 3am,136394.7
2025,01-Jan 4am,137111.52
2025,01-Jan 5am,145522.09
2025,01-Jan 6am,160246.93
2025,01-Jan 7am,178528.17
2025,01-Jan 8am,193974.01
2025,01-Jan 9am,204325.74
2025,01-Jan 10am,212487.58
2025,01-Jan 11am,210631.48
2025,01-Jan 12pm,204742.42
2025,01-Jan 1pm,196981.23
2025,01-Jan 2pm,188863.27
2025,01-Jan 3pm,186195.36
2025,01-Jan 4pm,182737.49
2025,01-Jan 5pm,182539.71
2025,01-Jan 6pm,184954.18
2025,01-Jan 7pm,185807.01
2025,01-Jan 8pm,174192.84
2025,01-Jan 9pm,164030.79
2025,01-Jan 10pm,152718.32
2025,01-Jan 11pm,147030.96
2025,02-Jan 12am,140966.09
2025,02-Jan 1am,137411.66
2025,02-Jan 2am,134080.72
2025,02-Jan 3am,132062.76
2025,02-Jan 4am,132535.9
2025,02-Jan 5am,139779.65
2025,02-Jan 6am,155578.16
2025,02-Jan 7am,179162.12
2025,02-Jan 8am,195729.95
2025,02-Jan 9am,205769.29
2025,02-Jan 10am,213200.01
2025,02-Jan 11am,211554.85
2025,02-Jan 12pm,206108.4
2025,02-Jan 1pm,199574.4
2025,02-Jan 2pm,192829.47
2025,02-Jan 3pm,193154.79
2025,02-Jan 4pm,192321.86
2025,02-Jan 5pm,193259.52
2025,02-Jan 6pm,197661.12
2025,02-Jan 7pm,197050.97
2025,02-Jan 8pm,186493.3
2025,02-Jan 9pm,174137.17
2025,02-Jan 10pm,162371.18
2025,02-Jan 11pm,154716.86
2025,03-Jan 12am,147654.01
2025,03-Jan 1am,143641.39
2025,03-Jan 2am,140555.84
2025,03-Jan 3am,138782.2
2025,03-Jan 4am,139627.18
2025,03-Jan 5am,147626.81
2025,03-Jan 6am,163196.5
2025,03-Jan 7am,187346.61
2025,03-Jan 8am,203855.84
2025,03-Jan 9am,211576.9
2025,03-Jan 10am,219248.91
2025,03-Jan 11am,217842.88
2025,03-Jan 12pm,213883.69
2025,03-Jan 1pm,206382.99
2025,03-Jan 2pm,195385.08
2025,03-Jan 3pm,194899.5
2025,03-Jan 4pm,193083.85
2025,03-Jan 5pm,193752.87
2025,03-Jan 6pm,196586.12
2025,03-Jan 7pm,196492.99
2025,03-Jan 8pm,185651.63
2025,03-Jan 9pm,175020.75
2025,03-Jan 10pm,162499.48
2025,03-Jan 11pm,155691.49
2025,04-Jan 12am,148872.08
2025,04-Jan 1am,144776.31
2025,04-Jan 2am,141736.47
2025,04-Jan 3am,140069.36
2025,04-Jan 4am,140471.95
2025,04-Jan 5am,147575.23
2025,04-Jan 6am,163364.69
2025,04-Jan 7am,185327.85
2025,04-Jan 8am,198970.86
2025,04-Jan 9am,209768.71
2025,04-Jan 10am,217378.04
2025,04-Jan 11am,214202.18
2025,04-Jan 12pm,210150.44
2025,04-Jan 1pm,203278.13
2025,04-Jan 2pm,196257.49
2025,04-Jan 3pm,196263.33
2025,04-Jan 4pm,195050.27
2025,04-Jan 5pm,194441.63
2025,04-Jan 6pm,196898.72
2025,04-Jan 7pm,197424.11
2025,04-Jan 8pm,187766.43
2025,04-Jan 9pm,177378.73
2025,04-Jan 10pm,164860.15
2025,04-Jan 11pm,158316.82
2025,05-Jan 12am,151523.91
2025,05-Jan 1am,147375.25
2025,05-Jan 2am,143627.35
2025,05-Jan 3am,141531.12
2025,05-Jan 4am,142298.18
2025,05-Jan 5am,148718.2
2025,05-Jan 6am,160661.38
2025,05-Jan 7am,178713.44
2025,05-Jan 8am,192415.78
2025,05-Jan 9am,202611.21
2025,05-Jan 10am,211072.84
2025,05-Jan 11am,211751.34
2025,05-Jan 12pm,206294.87
2025,05-Jan 1pm,199804.61
2025,05-Jan 2pm,192238.04
2025,05-Jan 3pm,189287.36
2025,05-Jan 4pm,185081.29
2025,05-Jan 5pm,184219.28
2025,05-Jan 6pm,186380.75
2025,05-Jan 7pm,188507.19
2025,05-Jan 8pm,177470.36
2025,05-Jan 9pm,166892.45
2025,05-Jan 10pm,156802.96
2025,05-Jan 11pm,150950.36
2025,06-Jan 12am,144279.39
2025,06-Jan 1am,140987.25
2025,06-Jan 2am,137759.64
2025,06-Jan 3am,135986.65
2025,06-Jan 4am,136835.77
2025,06-Jan 5am,145185.13
2025,06-Jan 6am,162015.81
2025,06-Jan 7am,187328.78
2025,06-Jan 8am,204115.51
2025,06-Jan 9am,214114.86
2025,06-Jan 10am,220516.32
2025,06-Jan 11am,219985.8
2025,06-Jan 12pm,215975.3
2025,06-Jan 1pm,208457.6
2025,06-Jan 2pm,202643.04
